filename,GEO
GSM863095_1738_3782_19305_BIA26d_Mouse430.2.2.CEL.gz,GSE35181
GSM863096_1738_3782_19306_BIA34a_Mouse430.2.CEL.gz,GSE35181
GSM863097_1738_3782_19307_BIA37c_Mouse430.2.CEL.gz,GSE35181
GSM234794.CEL.gz,GSE9247
GSM234795.CEL.gz,GSE9247
GSM234796.CEL.gz,GSE9247
GSM234797.CEL.gz,GSE9247
GSM234798.CEL.gz,GSE9247
GSM234799.CEL.gz,GSE9247
GSM234800.CEL.gz,GSE9247
GSM234801.CEL.gz,GSE9247
GSM234802.CEL.gz,GSE9247
GSM234803.CEL.gz,GSE9247
GSM234804.CEL.gz,GSE9247
GSM234805.CEL.gz,GSE9247
GSM234806.CEL.gz,GSE9247
GSM234807.CEL.gz,GSE9247
GSM234808.CEL.gz,GSE9247
GSM566175.CEL.gz,GSE22925
GSM566176.CEL.gz,GSE22925
GSM566177.CEL.gz,GSE22925
GSM566178.CEL.gz,GSE22925
GSM566179.CEL.gz,GSE22925
GSM566180.CEL.gz,GSE22925
GSM566181.CEL.gz,GSE22925
GSM566182.CEL.gz,GSE22925
GSM566183.CEL.gz,GSE22925
GSM566184.CEL.gz,GSE22925
GSM566185.CEL.gz,GSE22925
GSM566186.CEL.gz,GSE22925
GSM566187.CEL.gz,GSE22925
GSM566188.CEL.gz,GSE22925
GSM492799.CEL.gz,GSE19729
GSM492800.CEL.gz,GSE19729
GSM492801.CEL.gz,GSE19729
GSM492802.CEL.gz,GSE19729
GSM492803.CEL.gz,GSE19729
GSM492804.CEL.gz,GSE19729
GSM492805.CEL.gz,GSE19729
GSM492806.CEL.gz,GSE19729
GSM492807.CEL.gz,GSE19729
GSM492808.CEL.gz,GSE19729
GSM492809.CEL.gz,GSE19729
GSM492810.CEL.gz,GSE19729
GSM492811.CEL.gz,GSE19729
GSM492812.CEL.gz,GSE19729
GSM327853.cel.gz,GSE13104
GSM327862.cel.gz,GSE13104
GSM327979.cel.gz,GSE13104
GSM328057.cel.gz,GSE13104
GSM328058.cel.gz,GSE13104
GSM328060.cel.gz,GSE13104
GSM328061.cel.gz,GSE13104
GSM328065.cel.gz,GSE13104
